data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2022-05-01 01:40:30.083;5074;5074 IEI BOA ESPERANÇA                                  ;0;78;78;0;87;87;0;0;0;0;0;0;0;165
2022-05-01 01:40:30.084;5075;5075 IEI MARIA DOLABELLA PORTELA                        ;0;49;49;0;39;39;0;0;0;0;0;0;0;88
2022-05-01 01:40:30.085;5076;5076 EEI DOM ORIONE                                     ;0;60;60;0;88;88;0;0;0;0;0;0;0;148
2022-05-01 01:40:30.086;5077;5077 EEI NOSSA SENHORA DE NAZARÉ-DOM ORIONE             ;0;47;47;0;46;46;0;0;0;0;0;0;0;93
2022-05-01 01:40:30.087;5081;5081 EEI BRIZOLINHA                                     ;0;19;19;0;33;33;0;0;0;0;0;0;0;52
2022-05-01 01:40:30.088;5082;5082 IEI MEDIANEIRA                                     ;0;34;34;0;46;46;0;0;0;0;0;0;0;80
2022-05-01 01:40:30.089;5083;5083 EEI CASA DE NAZARE CENTRO DE APOIO AO MENOR        ;0;62;62;0;48;48;0;0;0;0;0;0;0;110
2022-05-01 01:40:30.091;5084;5084 EEI CANTINHO DA CRIANÇA                            ;0;30;30;0;25;25;0;0;0;0;0;0;0;55
2022-05-01 01:40:30.092;5085;5085 EEI BATILANOS                                      ;0;24;24;0;22;22;0;0;0;0;0;0;0;46
2022-05-01 01:40:30.093;5086;5086 EEI ARAPEÍ                                         ;0;48;48;0;35;35;0;0;0;0;0;0;0;83
2022-05-01 01:40:30.094;5087;5087 IEI NUCLEO SAO FRANCISCO                           ;0;50;50;0;42;42;0;0;0;0;0;0;0;92
2022-05-01 01:40:30.095;5088;5088 IEI VINDE A MIM AS CRIANCINHAS                     ;0;46;46;0;54;54;0;0;0;0;0;0;0;100
2022-05-01 01:40:30.096;5089;5089 EEI VÓ MARIA                                       ;0;29;29;0;25;25;0;0;0;0;0;0;0;54
2022-05-01 01:40:30.097;5091;5091 IEI MADRE BRIGIDA POSTORINO                        ;0;15;15;0;18;18;0;0;0;0;0;0;0;33
2022-05-01 01:40:30.098;5097;5097 EEI PASSO A PASSO                                  ;0;15;15;0;17;17;0;0;0;0;0;0;0;32
2022-05-01 01:40:30.100;5099;5099 EEI AMIGO SPINELLI                                 ;0;76;76;0;50;50;0;0;0;0;0;0;0;126
2022-05-01 01:40:30.101;5100;5100 IEI ISABEL VIEIRA                                  ;0;38;38;0;85;85;0;0;0;0;0;0;0;123
2022-05-01 01:40:30.102;5102;5102 IEI RENASCER VILA AMERICA                          ;0;46;46;0;39;39;0;0;0;0;0;0;0;85
2022-05-01 01:40:30.103;5105;5105 EEI ANANDA MARGA RESTINGA VELHA                    ;0;9;9;0;41;41;0;0;0;0;0;0;0;50
2022-05-01 01:40:30.104;5106;5106 EEI NOVA SANTA RITA                                ;0;33;33;0;47;47;0;0;0;0;0;0;0;80
2022-05-01 01:40:30.105;5107;5107 EEI ARCO IRIS I                                    ;0;0;0;0;64;64;0;0;0;0;0;0;0;64
2022-05-01 01:40:30.348;5108;5108 EEI PADRE PEDRO LEONARDI I                         ;0;40;40;0;47;47;0;0;0;0;0;0;0;87
2022-05-01 01:40:30.349;5109;5109 EEI ANANDA MARGA RESTINGA NOVA 1                   ;0;0;0;0;48;48;0;0;0;0;0;0;0;48
2022-05-01 01:40:30.350;5110;5110 EEI ANANDA MARGA JUCA BATISTA                      ;0;57;57;0;91;91;0;0;0;0;0;0;0;148
2022-05-01 01:40:30.351;5111;5111 EEI ANANDA MARGA BARRO VERMELHO                    ;0;19;19;0;46;46;0;0;0;0;0;0;0;65
2022-05-01 01:40:30.352;5112;5112 EEI SANTA CATARINA DA RESTINGA                     ;0;40;40;0;59;59;0;0;0;0;0;0;0;99
2022-05-01 01:40:30.353;5113;5113 EEI  ANJINHO DA GUARDA                             ;0;94;94;0;96;96;0;0;0;0;0;0;0;190
2022-05-01 01:40:30.355;5114;5114 EEI CAPELA NAVEGANTES                              ;0;10;10;0;43;43;0;0;0;0;0;0;0;53
2022-05-01 01:40:30.356;5115;5115 IEI SANTA ANITA                                    ;0;56;56;0;48;48;0;0;0;0;0;0;0;104
2022-05-01 01:40:30.357;5116;5116 IEI COLORINDO MEU DIA                              ;0;52;52;0;47;47;0;0;0;0;0;0;0;99
2022-05-01 01:40:30.358;5117;5117 EEI NOSSA SENHORA APARECIDA LOT MARIANTE           ;0;52;52;0;43;43;0;0;0;0;0;0;0;95
2022-05-01 01:40:30.359;5119;5119 EEI CRIANÇA CIDADÃ                                 ;0;32;32;0;44;44;0;0;0;0;0;0;0;76
2022-05-01 01:40:30.360;5120;5120 EEI MEDIANEIRA NOSSO SONHO I                       ;0;52;52;0;79;79;0;0;0;0;0;0;0;131
2022-05-01 01:40:30.361;5121;5121 IEI NSA SRA APARECIDA IPANEMA                      ;0;52;52;0;50;50;0;0;0;0;0;0;0;102
2022-05-01 01:40:30.362;5123;5123 EEI GOTINHAS DE AMOR                               ;0;14;14;0;15;15;0;0;0;0;0;0;0;29
2022-05-01 01:40:30.363;5124;5124 EEI ANTONIO GIANELLI - LOT CAVALHADA               ;0;40;40;0;49;49;0;0;0;0;0;0;0;89
2022-05-01 01:40:30.364;5127;5127 EEI VILA GAÚCHA                                    ;0;24;24;0;36;36;0;0;0;0;0;0;0;60
2022-05-01 01:40:30.366;5128;5128 IEI TIA HELENA                                     ;0;53;53;0;37;37;0;0;0;0;0;0;0;90
2022-05-01 01:40:30.367;5129;5129 IEI RENOVAR DA ESPERANÇA II                        ;0;40;40;0;44;44;0;0;0;0;0;0;0;84
2022-05-01 01:40:30.368;5130;5130 IEI TECNOBABY                                      ;0;47;47;0;44;44;0;0;0;0;0;0;0;91
2022-05-01 01:40:30.369;5131;5131 IEI SÃO VICENTE DE PAULO                           ;0;55;55;0;51;51;0;0;0;0;0;0;0;106
2022-05-01 01:40:30.370;5132;5132 EEI ANANDA MARGA RESTINGA NOVA 2                   ;0;10;10;0;40;40;0;0;0;0;0;0;0;50
2022-05-01 01:40:30.371;5133;5133 EEI AMOVIR                                         ;0;33;33;0;22;22;0;0;0;0;0;0;0;55
2022-05-01 01:40:30.372;5134;5134 EEI PÉ DE PILÃO                                    ;0;58;58;0;45;45;0;0;0;0;0;0;0;103
2022-05-01 01:40:30.373;5135;5135 EEI ANTONIO GIANELLI                               ;0;51;51;0;49;49;0;0;0;0;0;0;0;100
2022-05-01 01:40:30.374;5136;5136 IEI UNIÃO ESPERANÇA                                ;0;61;61;0;46;46;0;0;0;0;0;0;0;107
2022-05-01 01:40:30.376;5138;5138 IEI BRINCANDO E APRENDENDO                         ;0;50;50;0;42;42;0;0;0;0;0;0;0;92
2022-05-01 01:40:30.377;5139;5139 IEI ACOMPAR NUCLEO III                             ;0;56;56;0;47;47;0;0;0;0;0;0;0;103
